[[299.4, 467.0], [-0.2, -0.9], [1.5, 0.9]]
[[295.3, 466.6], [-0.2, -0.9], [1.5, 0.9]]
[[284.0, 466.3], [-0.2, -0.9], [1.5, 0.9]]
[[278.8, 465.7], [-0.2, -0.9], [1.5, 0.9]]
[[280.7, 465.4], [-0.2, -0.9], [1.6, 0.9]]
[[271.3, 465.2], [-0.2, -0.9], [1.6, 0.9]]
[[259.2, 464.1], [-0.2, -0.9], [1.8, 0.8]]
[[249.5, 463.3], [-0.1, -0.9], [1.7, 0.7]]
[[251.9, 463.2], [-0.2, -0.9], [1.8, 0.7]]
[[245.4, 463.2], [-0.2, -0.9], [1.8, 0.7]]
[[244.3, 461.6], [-0.2, -0.9], [1.9, 0.7]]
[[241.8, 461.3], [-0.3, -0.9], [1.9, 0.7]]
[[236.0, 460.1], [-0.2, -0.9], [1.8, 0.7]]
[[229.5, 459.0], [-0.3, -0.9], [1.9, 0.7]]
[[218.8, 457.8], [-0.2, -0.9], [1.9, 0.7]]
[[241.8, 457.4], [-0.4, -0.9], [2.1, 0.7]]
[[265.3, 456.1], [-0.5, -0.8], [2.1, 0.7]]
[[288.0, 453.1], [-0.7, -0.7], [2.1, 0.7]]
[[309.6, 448.7], [-0.8, -0.5], [2.0, 0.6]]
[[331.1, 441.9], [-0.8, -0.4], [2.1, 0.5]]
[[352.2, 432.5], [-0.9, -0.2], [2.1, 0.5]]
[[373.3, 418.2], [-0.9, -0.1], [2.2, 0.4]]
[[394.3, 395.8], [-0.9, 0.0], [2.2, 0.4]]
[[412.3, 361.5], [-0.9, 0.2], [2.0, 0.4]]
[[423.9, 308.9], [-0.9, 0.3], [2.0, 0.4]]
[[423.8, 242.9], [-0.8, 0.5], [2.0, 0.4]]
[[409.4, 184.3], [-0.7, 0.7], [2.1, 0.3]]
[[400.0, 163.2], [-0.6, 0.7], [2.1, 0.3]]
[[398.5, 160.1], [-0.6, 0.7], [2.1, 0.3]]
[[398.2, 159.3], [-0.6, 0.7], [2.1, 0.3]]
[[398.0, 159.1], [-0.6, 0.7], [2.1, 0.3]]
[[397.9, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[397.9, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[397.9, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[397.9, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[397.9, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[397.9, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[397.9, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[398.2, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.5, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.6, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.4], [-0.6, 0.7], [2.1, 0.3]]
[[398.7, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.8, 158.5], [-0.6, 0.7], [2.1, 0.3]]
[[398.9, 158.6], [-0.6, 0.7], [2.1, 0.3]]
[[398.9, 158.6], [-0.6, 0.7], [2.1, 0.3]]
[[398.9, 158.6], [-0.6, 0.7], [2.1, 0.3]]
[[398.9, 158.7], [-0.6, 0.7], [2.1, 0.3]]
[[398.9, 158.6], [-0.6, 0.7], [2.1, 0.3]]
[[398.9, 158.7], [-0.6, 0.7], [2.1, 0.3]]
[[398.9, 158.7], [-0.6, 0.7], [2.1, 0.3]]
[[399.0, 158.7], [-0.6, 0.7], [2.1, 0.3]]
[[399.0, 158.8], [-0.6, 0.7], [2.1, 0.3]]
[[399.0, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[399.1, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[399.1, 158.9], [-0.6, 0.7], [2.1, 0.3]]
[[399.2, 159.0], [-0.6, 0.7], [2.1, 0.3]]
[[399.4, 159.2], [-0.6, 0.7], [2.1, 0.3]]
[[400.4, 161.0], [-0.6, 0.7], [2.1, 0.3]]
[[389.6, 139.2], [-0.6, 0.7], [2.1, 0.3]]
[[357.6, 115.3], [-0.4, 0.8], [2.1, 0.3]]
[[348.8, 107.3], [-0.4, 0.9], [1.8, 0.3]]
[[342.5, 102.7], [-0.4, 0.9], [1.8, 0.3]]
[[316.4, 94.2], [-0.3, 0.9], [1.5, 0.3]]
[[278.4, 85.5], [-0.1, 0.9], [1.5, 0.3]]
[[250.1, 81.6], [-0.1, 0.9], [1.5, 0.3]]
[[211.6, 72.7], [-0.1, 0.9], [1.3, 0.4]]
[[183.7, 69.9], [0.0, 0.9], [1.1, 0.4]]
[[174.2, 67.2], [0.0, 0.9], [0.9, 0.4]]
